Driver,Nationality,Seasons,Championships,Race_Entries,Race_Starts,Pole_Positions,Race_Wins,Podiums,Fastest_Laps,Points,Active,Championship Years,Pole_Rate,Start_Rate,Win_Rate,Podium_Rate,FastLap_Rate,Points_Per_Entry,Years_Active
Fernando Alonso,Spain,"[2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2021, 2022]",2.0,359.0,356.0,22.0,32.0,99.0,23.0,2076.0,True,"[2005, 2006]",0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19
Mario Andretti,United States,"[1968, 1969, 1970, 1971, 1972, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982]",1.0,131.0,128.0,18.0,12.0,19.0,10.0,180.0,False,[1978],0.1374045801526717,0.9770992366412212,0.0916030534351145,0.1450381679389313,0.0763358778625954,1.3740458015267176,14
Alberto Ascari,Italy,"[1950, 1951, 1952, 1953, 1954, 1955]",2.0,33.0,32.0,14.0,13.0,17.0,12.0,107.64,False,"[1952, 1953]",0.4242424242424242,0.9696969696969696,0.3939393939393939,0.5151515151515151,0.3636363636363636,3.2618181818181817,6
Jack Brabham,Australia,"[1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970]",3.0,128.0,126.0,13.0,14.0,31.0,12.0,253.0,False,"[1959, 1960, 1966]",0.1015625,0.984375,0.109375,0.2421875,0.09375,1.9765625,16
Jenson Button,United Kingdom,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",1.0,309.0,306.0,8.0,15.0,50.0,8.0,1235.0,False,[2009],0.0258899676375404,0.9902912621359224,0.0485436893203883,0.1618122977346278,0.0258899676375404,3.996763754045308,18
Jim Clark,United Kingdom,"[1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968]",2.0,73.0,72.0,33.0,25.0,32.0,28.0,255.0,False,"[1963, 1965]",0.4520547945205479,0.9863013698630136,0.3424657534246575,0.4383561643835616,0.3835616438356164,3.493150684931507,9
Juan Manuel Fangio,Argentina,"[1950, 1951, 1953, 1954, 1955, 1956, 1957, 1958]",5.0,52.0,51.0,29.0,24.0,35.0,23.0,245.0,False,"[1951, 1954, 1955, 1956, 1957]",0.5576923076923077,0.9807692307692308,0.4615384615384615,0.6730769230769231,0.4423076923076923,4.711538461538462,8
Nino Farina,Italy,"[1950, 1951, 1952, 1953, 1954, 1955]",1.0,34.0,33.0,5.0,5.0,20.0,5.0,115.33,False,[1950],0.1470588235294117,0.9705882352941176,0.1470588235294117,0.5882352941176471,0.1470588235294117,3.392058823529412,6
Emerson Fittipaldi,Brazil,"[1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980]",2.0,149.0,144.0,6.0,14.0,35.0,6.0,281.0,False,"[1972, 1974]",0.0402684563758389,0.9664429530201344,0.0939597315436241,0.2348993288590604,0.0402684563758389,1.8859060402684564,11
Mika Häkkinen,Finland,"[1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001]",2.0,165.0,161.0,26.0,20.0,51.0,25.0,420.0,False,"[1998, 1999]",0.1575757575757575,0.9757575757575756,0.1212121212121212,0.3090909090909091,0.1515151515151515,2.5454545454545454,11
Lewis Hamilton,United Kingdom,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",7.0,311.0,311.0,103.0,103.0,191.0,61.0,4415.5,True,"[2008, 2014, 2015, 2017, 2018, 2019, 2020]",0.3311897106109325,1.0,0.3311897106109325,0.6141479099678456,0.1961414790996784,14.19774919614148,16
Mike Hawthorn,United Kingdom,"[1952, 1953, 1954, 1955, 1956, 1957, 1958]",1.0,47.0,45.0,4.0,3.0,18.0,6.0,112.64,False,[1958],0.0851063829787234,0.9574468085106383,0.0638297872340425,0.3829787234042553,0.1276595744680851,2.3965957446808512,7
Damon Hill,United Kingdom,"[1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999]",1.0,122.0,115.0,20.0,22.0,42.0,19.0,360.0,False,[1996],0.1639344262295081,0.9426229508196722,0.180327868852459,0.3442622950819672,0.1557377049180328,2.950819672131148,8
Graham Hill,United Kingdom,"[1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975]",2.0,179.0,176.0,13.0,14.0,36.0,10.0,270.0,False,"[1962, 1968]",0.0726256983240223,0.9832402234636872,0.0782122905027933,0.2011173184357542,0.0558659217877094,1.5083798882681565,18
